Search Criteria:,"   Search in: Projects     AdminIC: All, FOA: RM17-025,RM17-027,RM18-001,RM19-002,RM20-001,RM20-002, Exclude Subprojects: Yes.   Fiscal Year: All Fiscal Years  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information ,Project Start Date,Project End Date,Study Section,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs,FY Indirect Costs,FY Total Cost by IC,FY Total Cost (Sub Projects)
No NIH Category available.,absorption;Antibodies;Architecture;Area;ATAC-seq;Atlases;Back;Biological Assay;Blood Circulation;Brain Death;brain tissue;cell motility;Cells;Collection;Colon;Communities;Complex;Consent;Data;Data Set;data sharing;Detection;Diarrhea;Digestion;Disease;Duodenum;Encyclopedia of DNA Elements;Epitopes;experience;Food;Gastrointestinal tract structure;Genome;Genomics;Goals;gut microbiome;Health;Heterogeneity;Histologic;Homeostasis;host microbiome;Human;Human body;human disease;ileum;Imaging Techniques;Immune response;Immunity;indexing;Individual;Inflammatory Bowel Diseases;Ingestion;insight;interest;Intestines;jejunum;Large Intestine;Length;Maintenance;Maps;Mediating;member;Metabolism;Methodological Studies;Methods;microbiome;Molecular;Neurophysiology - biologic function;nutrient absorption;Nutritional;Organ;Organ Donor;Participant;Phase;Physiology;Play;Population;preservation;Process;Production;Proteins;Publications;Research Personnel;Resolution;Role;Sampling;scale up;Shapes;single cell analysis;single-cell RNA sequencing;Small Intestines;Structure;System;Techniques;Technology;Tissue Sample;Tissues;Vision;,Stanford Tissue Mapping Center,"PROJECT NARRATIVE: Overall We propose to establish the Stanford Tissue Mapping Center to map the complexity of cellular architecture and biomolecular profiles of the small bowel and colon, which play wide-ranging roles in maintaining normal physiologies of metabolism, immunity, and even neural function. We will apply the deep expertise of our team to obtain high-quality biospecimens consented for open access genome data sharing, characterize the tissues using cutting-edge omics and multiparametric imaging techniques, and perform integrative analyses to understand the biomolecular profiles in the context of spatial tissue structure. We will build high-resolution, molecular and spatial maps that will give the greater scientific community insights into the molecular underpinnings of normal bowel function.",NHGRI,9788504,1-JUL-2019,RFA-RM-17-027,5U54HG010426-02,5,U54,HG,010426,02,,"GILCHRIST, DANIEL A",19-SEP-2018,30-JUN-2022,Special Emphasis Panel (ZRG1-BST-J (50)R),,1862128,"SNYDER, MICHAEL P. ","NOLAN, GARRY P",18,GENETICS,009214214,US,37.429038,-122.178178,8046501,STANFORD UNIVERSITY,STANFORD,CA,SCHOOLS OF MEDICINE,94305-2004,UNITED STATES, ,1-JUL-2019,30-JUN-2020,310,Research Centers,2019,OD,670184,329816,1000000,
No NIH Category available.,absorption;Antibodies;Architecture;Area;ATAC-seq;Atlases;Back;Biological Assay;Blood Circulation;Brain Death;brain tissue;cell motility;Cells;Collection;Colon;Communities;Complex;Consent;Data;Data Set;data sharing;Detection;Diarrhea;Digestion;Disease;Duodenum;Encyclopedia of DNA Elements;Epitopes;experience;Food;Gastrointestinal tract structure;Genome;Genomics;Goals;gut microbiome;Health;Heterogeneity;Histologic;Homeostasis;host microbiome;Human;Human body;human disease;ileum;Imaging Techniques;Immune response;Immunity;indexing;Individual;Inflammatory Bowel Diseases;Ingestion;insight;interest;Intestines;jejunum;Large Intestine;Length;Maintenance;Maps;Mediating;member;Metabolism;Methodological Studies;Methods;microbiome;Molecular;Neurophysiology - biologic function;nutrient absorption;Nutritional;Organ;Organ Donor;Participant;Phase;Physiology;Play;Population;Process;Production;Proteins;Publications;Research Personnel;Resolution;Role;Sampling;scale up;Shapes;single cell analysis;single-cell RNA sequencing;Small Intestines;Structure;System;Techniques;Technology;Tissue Sample;Tissues;Vision;,Stanford Tissue Mapping Center,"PROJECT NARRATIVE: Overall We propose to establish the Stanford Tissue Mapping Center to map the complexity of cellular architecture and biomolecular profiles of the small bowel and colon, which play wide-ranging roles in maintaining normal physiologies of metabolism, immunity, and even neural function. We will apply the deep expertise of our team to obtain high-quality biospecimens consented for open access genome data sharing, characterize the tissues using cutting-edge omics and multiparametric imaging techniques, and perform integrative analyses to understand the biomolecular profiles in the context of spatial tissue structure. We will build high-resolution, molecular and spatial maps that will give the greater scientific community insights into the molecular underpinnings of normal bowel function.",NHGRI,9660322,19-SEP-2018,RFA-RM-17-027,1U54HG010426-01,1,U54,HG,010426,01,,"GILCHRIST, DANIEL A",19-SEP-2018,30-JUN-2022,Special Emphasis Panel (ZRG1-BST-J (50)R),,1862128,"SNYDER, MICHAEL P. ","NOLAN, GARRY P",18,GENETICS,009214214,US,37.429038,-122.178178,8046501,STANFORD UNIVERSITY,STANFORD,CA,SCHOOLS OF MEDICINE,94305-2004,UNITED STATES, ,19-SEP-2018,30-JUN-2019,310,Research Centers,2018,OD,356393,193607,550000,
No NIH Category available.,3-Dimensional;Academic Medical Centers;Alabama;Applications Grants;Atlases;body system;cell type;Cells;chemical fixation;Clinical;Clinical Data;Collaborations;Collection;Communities;computing resources;Data;data acquisition;Data Analyses;Data Set;Detection;Development;Diabetes Mellitus;Dimensions;Disease;Ensure;Environment;ex vivo imaging;Excision;experience;Eye;Florida;Foundations;Freezing;Funding;Future;Generations;Health;Histologic;Histology;Human;Human BioMolecular Atlas Program;human tissue;Image;imaging modality;Imaging technology;Immunofluorescence Immunologic;in vivo;indexing;Infrastructure;innovation;insight;Kidney;Laboratories;Lipids;Mass Spectrum Analysis;Medical center;Medical Imaging;member;metabolomics;Microscopy;Mission;Modality;Molecular;Molecular Analysis;Monitor;multidisciplinary;Multimodal Imaging;multimodality;Netherlands;Normal tissue morphology;Operative Surgical Procedures;Optical Coherence Tomography;Organ;Organ Procurements;Pancreas;Participant;Performance;Physicians;Positioning Attribute;Preparation;preservation;Procedures;Process;programs;Proteins;Proteomics;quality assurance;Quality Control;Reproducibility;Research;Research Personnel;Resources;Sampling;Scientist;single-cell RNA sequencing;Source;Specimen;Stains;Standardization;Surface;System;Technical Expertise;Techniques;Technology;Testing;Three-Dimensional Imaging;Tissues;United States National Institutes of Health;Universities;,Biomolecular Multimodal Imaging Center: 3-Dimensional Tissue Mapping of the Human Pancreas and Eye,"PROJECT NARRATIVE - Overall This application proposes the founding of a Tissue Mapping Center at Vanderbilt University associated with the Human BioMolecular Atlas Program (HuBMAP). The mission of this Tissue Mapping Center is to build a platform of integrated technologies for imaging and molecular analysis that enables the construction of comprehensive 3-dimensional molecular atlases of the human eye and pancreas. Our proposal leverages the unique analytical and computational resources of the Mass Spectrometry Research Center and the VU-Biomolecular Multimodal Imaging Center at Vanderbilt University, the world-class clinical environments of the Vanderbilt University Medical Center and University of Alabama at Birmingham, and unique technical expertise at Delft University of Technology to create a capability to characterize human tissues at a level of understanding unrivaled by current technologies.",NEI,10117948,4-SEP-2020,RFA-RM-20-002,1U54EY032442-01,1,U54,EY,032442,01,,"SHEN, GRACE L",30-SEP-2020,31-AUG-2024,Special Emphasis Panel (ZRG1-BST-U (50)R),,11594935,"SPRAGGINS, JEFFREY M ","CAPRIOLI, RICHARD M;POWERS, ALVIN C;SCHEY, KEVIN L",05,BIOCHEMISTRY,965717143,US,36.140134,-86.796274,8721001,VANDERBILT UNIVERSITY,Nashville,TN,SCHOOLS OF MEDICINE,37203,UNITED STATES, ,30-SEP-2020,31-AUG-2021,867,Research Centers,2020,OD,583294,167955,751249,
No NIH Category available.,"3-Dimensional;Active Sites;Address;Age;Algorithms;analysis pipeline;Apoptosis;Area;Atlases;base;Biochemical;Biological;Biological Markers;Biopsy;Blood;Brain;Cardiolipins;cell behavior;Cell Death;cell type;Cells;Characteristics;Chemicals;Chemistry;Computer Vision Systems;Coupled;cryogenics;Cytometry;Data;Data Analyses;data analysis pipeline;data integration;data mining;Data Set;data visualization;Development;Disease;driving force;Electrospray Ionization;Environment;Eosine Yellowish;experimental study;Freezing;Gases;Genetic Transcription;grasp;Health;Heart;Heterogeneity;high resolution imaging;Homeostasis;Human;human tissue;Hydration status;Image;image reconstruction;imaging platform;Immunohistochemistry;improved;Individual;insight;instrumentation;interest;ionization;ionization technique;Ions;Kidney;Knowledge;Label;Laboratories;Lateral;Link;Lipids;Liver;Liver diseases;Liver Fibrosis;Machine Learning;Mass Spectrum Analysis;Membrane;Messenger RNA;Metabolic Marker;Metabolism;Methods;Modality;Modeling;Modification;Molecular;molecular imaging;Morphology;Multimodal Imaging;multimodality;multiple omics;Mus;novel;Optics;Organelles;Peptides;Pharmaceutical Preparations;Phase;Phenotype;Physiological;Physiology;Preparation;preservation;Primary carcinoma of the liver cells;protein complex;Protein Fragment;Protocols documentation;reconstruction;Resolution;Sampling;Signal Transduction;single-cell RNA sequencing;Site;Source;Spatial Distribution;Spectrometry, Mass, Electrospray Ionization;Spectrometry, Mass, Secondary Ion;Speed;stem;submicron;Technology;Time;Tissue imaging;Tissues;tool;Transcript;tumorigenesis;Visualization;Water;",Multimodal mass spectrometry imaging of mouse and human liver,"We propose to develop a new mass spectrometry imaging pipeline that will enable mapping of biomolecules in in biological tissues at high spatial resolution. This will provide previously inaccessible information on cellular and tissue organization, and how homeostasis and disease intersect at the level of tissue physiology.",NCI,10118811,10-SEP-2020,RFA-RM-20-001,1UG3CA256962-01,1,UG3,CA,256962,01,,"SRINIVAS, POTHUR R",10-SEP-2020,31-AUG-2022,Special Emphasis Panel (ZRG1-IMST-M (50)R),,6980256,"STOCKWELL, BRENT R ","TIAN, HUA ",13,BIOLOGY,049179401,US,40.818766,-73.959562,1833202,COLUMBIA UNIV NEW YORK MORNINGSIDE,NEW YORK,NY,OTHER DOMESTIC HIGHER EDUCATION,10027-7922,UNITED STATES, ,10-SEP-2020,31-AUG-2021,310,Research Projects,2020,OD,230345,69655,300000,
No NIH Category available.,Adult;Age;Aging;Algorithms;Anatomy;Atlases;Automobile Driving;Awareness;base;Basic Science;biobank;Biological Assay;Biology;Biomedical Research;bone;Bone Diseases;bone quality;Bone Tissue;Boston;burden of illness;Cell Communication;Cell Nucleus;cell type;Cells;Cellular Assay;cellular imaging;Cellular Structures;Chromatin;Clinical Data;Clinical Research;Collaborations;Communication;Communities;Complex;complex data ;Computational algorithm;computational pipelines;Computer Models;Computer software;computerized tools;Computing Methodologies;Data;data sharing;Databases;Detection;Development;Diagnosis;Disease;Emerging Technologies;epidemiologic data;Ethnic Origin;Fluorescent in Situ Hybridization;Follow-Up Studies;Freezing;Genetic Transcription;genomic data;Health;Heart;Heart Diseases;Hematological Disease;Heterogeneity;Human;Human BioMolecular Atlas Program;human disease;human tissue;Image;Imaging technology;improved;indexing;infancy;Informed Consent;Infrastructure;insight;Iowa;Joints;Knowledge;Longevity;Maps;Mediating;Medical;Methods;Molecular;molecular imaging;Molecular Profiling;multiple omics;multiplexed imaging;Normalcy;novel;open source;Organ;Outcome;outcome forecast;Pathogenesis;Pattern;Pediatric Hospitals;Pennsylvania;Phenotype;Philadelphia;Physiological;Play;Population;precision medicine;Proteins;Protocols documentation;Regulatory Pathway;Research;Research Personnel;RNA;Role;sex;Signal Pathway;Signal Transduction Pathway;single cell analysis;Small Nuclear RNA;Spatial Distribution;Specimen;Techniques;Technology;Tissue Donors;Tissue Preservation;Tissue Procurements;Tissues;transcriptome sequencing;Translational Research;Transposase;Universities;user-friendly;Visualization;,Center for Developmental Mapping of Heart and Bone Tissues,"PROJECT NARRATIVE Bone and heart are vital organs for human health. Our in-depth characterization of these two organs will lead to improved understanding of blood, bone and heart diseases and have the potential to greatly change the outcomes landscape of these diseases.",NHLBI,10118850,1-SEP-2020,RFA-RM-20-002,1U54HL156090-01,1,U54,HL,156090,01,,"BAI, C BRIAN",1-SEP-2020,31-AUG-2022,Special Emphasis Panel (ZRG1-BST-U (50)R),,9699861,"TAN, KAI  ","BERNT, KATHRIN M;PEI, LIMING ",03,Unavailable,073757627,US,39.946629,-75.196611,1499101,CHILDREN'S HOSP OF PHILADELPHIA,PHILADELPHIA,PA,Independent Hospitals,19146-2305,UNITED STATES, ,1-SEP-2020,31-AUG-2021,839,Research Centers,2020,OD,323775,176225,500000,
No NIH Category available.,Antibodies;Area;Atlases;automated image analysis;Bar Codes;base;Binding Sites;Biological Assay;Biology;Chromosomes;Clinical Pathology;Collaborations;Color;Communities;cost;Data;data resource;data submission;data visualization;design;Detection;Development;disease diagnosis;DNA;drug discovery;Fluorescence;fluorescence imaging;fluorophore;Freezing;Hour;Human;Human BioMolecular Atlas Program;human imaging;human tissue;Image;imager;imaging approach;imaging modality;imaging system;Imaging technology;improved;In Situ;in situ imaging;indexing;instrument;interest;Label;Maps;Mediating;Methods;Microscope;Molecular;multiplex detection;Multiplexed Ion Beam Imaging;novel;Phase;Proteins;Proteomics;Protocols documentation;Publishing;Reaction;RNA;Sample Size;Sampling;Scanning;Signal Transduction;single cell proteins;Slide;Stains;System;Techniques;Testing;Thick;Time;Tissue imaging;Tissue Sample;Tissues;Tonsil;Validation;vibration;Vision;Work;,"High-Throughput, Highly Multiplexed In Situ Proteomic Imaging of Human Tissues","Narrative The ability to image many discrete targets in human tissue is indispensable to the understanding of basic biology and the enablement of effective disease diagnosis and treatment. We propose to develop a simple and robust technique that combines rapid, high-level multiplexing with improved signal amplification for in situ, single-cell, protein composition mapping in tissue samples. This work will be transformative for understanding cellular organization in tissues as well as drug discovery, testing, and clinical pathology.",NCI,10026444,13-JUL-2020,RFA-RM-17-025,4UH3CA255133-03,4,UH3,CA,255133,03,,"SRINIVAS, POTHUR R",15-SEP-2018,30-JUN-2022,Special Emphasis Panel (ZRG1-IMST-H (50)R),,9496387,"YIN, PENG ",Not Applicable,05,NONE,082359691,US,42.373148,-71.118329,3212901,HARVARD UNIVERSITY,CAMBRIDGE,MA,ORGANIZED RESEARCH UNITS,02138-5319,UNITED STATES, ,13-JUL-2020,30-JUN-2021,310,Research Projects,2020,OD,394464,175536,570000,
Biomedical Imaging;Biotechnology,Antibodies;Area;Atlases;automated image analysis;base;Binding Sites;Biological Assay;Biology;Chromosomes;Clinical Pathology;Collaborations;Color;Communities;cost;Data;data resource;data submission;data visualization;design;Detection;Development;disease diagnosis;DNA;drug discovery;Fluorescence;fluorescence imaging;fluorophore;Freezing;Hour;Human;human imaging;human tissue;Image;imager;imaging approach;imaging modality;imaging system;Imaging technology;improved;In Situ;in situ imaging;indexing;instrument;interest;Label;Maps;Mediating;Methods;Microscope;Molecular;multiplex detection;Multiplexed Ion Beam Imaging;novel;Phase;Proteins;Proteomics;Protocols documentation;Publishing;Reaction;RNA;Sample Size;Sampling;Scanning;Signal Transduction;single cell proteins;Slide;Stains;System;Techniques;Testing;Thick;Time;Tissue imaging;Tissue Sample;Tissues;Tonsil;Validation;vibration;Vision;Work;,"High-Throughput, Highly Multiplexed In Situ Proteomic Imaging of Human Tissues","Narrative The ability to image many discrete targets in human tissue is indispensable to the understanding of basic biology and the enablement of effective disease diagnosis and treatment. We propose to develop a simple and robust technique that combines rapid, high-level multiplexing with improved signal amplification for in situ, single-cell, protein composition mapping in tissue samples. This work will be transformative for understanding cellular organization in tissues as well as drug discovery, testing, and clinical pathology.",NHLBI,9784896,23-JUL-2019,RFA-RM-17-025,5UG3HL145600-02,5,UG3,HL,145600,02,,"SRINIVAS, POTHUR R",15-SEP-2018,30-JUN-2020,Special Emphasis Panel (ZRG1-IMST-H (50)R),,9496387,"YIN, PENG ",Not Applicable,05,NONE,082359691,US,42.373148,-71.118329,3212901,HARVARD UNIVERSITY,CAMBRIDGE,MA,ORGANIZED RESEARCH UNITS,02138-5319,UNITED STATES, ,1-JUL-2019,30-JUN-2020,310,Research Projects,2019,OD,324678,224028,413251,
Biomedical Imaging;Biotechnology,Antibodies;Area;Atlases;base;Binding Sites;Biological Assay;Biology;Chromosomes;Clinical Pathology;Collaborations;Color;Communities;cost;Data;data resource;data submission;data visualization;design;Detection;Development;disease diagnosis;DNA;drug discovery;Fluorescence;fluorescence imaging;fluorophore;Freezing;Hour;Human;human imaging;human tissue;Image;Image Analysis;imager;imaging approach;imaging modality;imaging system;Imaging technology;improved;In Situ;in situ imaging;indexing;instrument;interest;Label;Maps;Mediating;Methods;Microscope;Molecular;multiplex detection;Multiplexed Ion Beam Imaging;novel;Phase;Proteins;Proteomics;Protocols documentation;Publishing;Reaction;RNA;Sample Size;Sampling;Scanning;Signal Transduction;single cell proteins;Slide;Stains;System;Techniques;Testing;Thick;Time;Tissue imaging;Tissue Sample;Tissues;Tonsil;Validation;vibration;Vision;Work;,"High-Throughput, Highly Multiplexed In Situ Proteomic Imaging of Human Tissues","Narrative The ability to image many discrete targets in human tissue is indispensable to the understanding of basic biology and the enablement of effective disease diagnosis and treatment. We propose to develop a simple and robust technique that combines rapid, high-level multiplexing with improved signal amplification for in situ, single-cell, protein composition mapping in tissue samples. This work will be transformative for understanding cellular organization in tissues as well as drug discovery, testing, and clinical pathology.",NHLBI,9660083,13-SEP-2018,RFA-RM-17-025,1UG3HL145600-01,1,UG3,HL,145600,01,,"SRINIVAS, POTHUR R",15-SEP-2018,30-JUN-2020,Special Emphasis Panel (ZRG1-IMST-H (50)R),,9496387,"YIN, PENG ",Not Applicable,05,NONE,082359691,US,42.373148,-71.118329,3212901,HARVARD UNIVERSITY,CAMBRIDGE,MA,ORGANIZED RESEARCH UNITS,02138-5319,UNITED STATES, ,15-SEP-2018,30-JUN-2019,310,Research Projects,2018,OD,248521,171479,420000,
No NIH Category available.,Acid-Base Equilibrium;Acute;Adult;Alveolar;Anatomy;Area;Bioinformatics;Bladder;Blood Vessels;Cell Nucleus;Cell Respiration;cell type;Cells;Chromatin;Chronic;Collaborations;computational pipelines;computer framework;Computer software;Cost of Illness;Data;Development;Electrolyte Balance;Endothelium;Environment;Epithelial;Epithelium;experience;Failure;Fluid Balance;fluorescence imaging;Funding;Gases;Goals;Homeostasis;Human;Human BioMolecular Atlas Program;human disease;human tissue;Image;Immunologic Surveillance;improved;In Situ;in situ imaging;Inflammatory;Injury;injury and repair;insight;International;Kidney;Lead;Length;Lower urinary tract;Lung;lung development;Lung diseases;Maps;Mechanical Ventilators;medical schools;Methods;Molecular;Morphogenesis;multiple omics;nephrogenesis;open source;Organ;Pathology;Phenotype;Physiology;Poison;Proteins;Pulmonary Pathology;Regulation;relating to nervous system;Research Personnel;Resolution;Respiratory System;RNA;Seasons;sex;single cell sequencing;System;The Sun;Three-dimensional analysis;Transcript;transcriptome;transcriptome sequencing;United States National Institutes of Health;Universities;Ureter;Urinary system;Urinary tract;Visualization;Washington;young adult;,"KULMAP: Human Kidney, urinary tract and lung mapping center","Project Narrative We will build spatial maps of biomolecules for the human respirator and urinary system, both are critical to homeostasis. This will provide remarkable insight into morphogenesis, homeostasis and injury/repair of the body’s principal barriers. It will also help us to manage and treat various acute or chronic damages of these organs.",NHLBI,9966771,12-AUG-2020,RFA-RM-17-027,5U54HL145608-03,5,U54,HL,145608,03,,"LIN, SARA",25-SEP-2018,30-JUN-2022,Special Emphasis Panel (ZRG1-BST-J (50)R),,8747510,"ZHANG, KUN  ","HAGOOD, JAMES S.;JAIN, SANJAY ;KHARCHENKO, PETER V;SUN, XIN ",52,ENGINEERING (ALL TYPES),804355790,US,32.881785,-117.236973,577507,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",LA JOLLA,CA,SCHOOLS OF ARTS AND SCIENCES,92093-0934,UNITED STATES, ,1-JUL-2020,30-JUN-2021,310,Research Centers,2020,OD,1529402,317436,1846838,
No NIH Category available.,Acid-Base Equilibrium;Acute;Adult;Alveolar;Anatomy;Area;Bioinformatics;Bladder;Blood Vessels;Cell Nucleus;Cell Respiration;cell type;Cells;Chromatin;Chronic;Collaborations;computer framework;Computer software;Cost of Illness;Data;Development;Electrolyte Balance;Endothelium;Environment;Epithelial;experience;Failure;Fluid Balance;fluorescence imaging;Funding;Gases;Goals;Homeostasis;Human;human disease;human tissue;Image;Imagery;Immunologic Surveillance;improved;In Situ;in situ imaging;Inflammatory;Injury;injury and repair;insight;International;Kidney;Lead;Length;Lower urinary tract;Lung;lung development;Lung diseases;Maps;Mechanical Ventilators;medical schools;Methods;Molecular;Morphogenesis;multiple omics;nephrogenesis;open source;Organ;Pathology;Phenotype;Physiology;Poison;Proteins;Pulmonary Pathology;Regulation;relating to nervous system;Research Personnel;Resolution;Respiratory System;RNA;Seasons;sex;single cell sequencing;System;The Sun;Three-dimensional analysis;Transcript;transcriptome;transcriptome sequencing;United States National Institutes of Health;Universities;Ureter;Urinary system;Urinary tract;Washington;young adult;,"KULMAP: Human Kidney, urinary tract and lung mapping center","Project Narrative We will build spatial maps of biomolecules for the human respirator and urinary system, both are critical to homeostasis. This will provide remarkable insight into morphogenesis, homeostasis and injury/repair of the body’s principal barriers. It will also help us to manage and treat various acute or chronic damages of these organs.",NHLBI,9791201,26-JUN-2019,RFA-RM-17-027,5U54HL145608-02,5,U54,HL,145608,02,,"LIN, SARA",25-SEP-2018,30-JUN-2022,Special Emphasis Panel (ZRG1-BST-J (50)R),,8747510,"ZHANG, KUN  ","HAGOOD, JAMES S.;JAIN, SANJAY ;KHARCHENKO, PETER V;SUN, XIN ",52,ENGINEERING (ALL TYPES),804355790,US,32.881785,-117.236973,577507,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",LA JOLLA,CA,SCHOOLS OF ARTS AND SCIENCES,92093-0934,UNITED STATES, ,1-JUL-2019,30-JUN-2020,310,Research Centers,2019,OD,808309,191691,1000000,
No NIH Category available.,Acid-Base Equilibrium;Acute;Adult;Alveolar;Anatomy;Area;Bioinformatics;Bladder;Blood Vessels;Cell Nucleus;Cell Respiration;cell type;Cells;Chromatin;Chronic;Collaborations;computer framework;Computer software;Cost of Illness;Data;Development;Electrolyte Balance;Environment;Epithelial;experience;Failure;Fluid Balance;fluorescence imaging;Funding;Gases;Goals;Homeostasis;Human;human disease;human tissue;Image;Imagery;Immunologic Surveillance;improved;In Situ;in situ imaging;Inflammatory;Injury;injury and repair;insight;International;Kidney;Lead;Length;Lower urinary tract;Lung;lung development;Lung diseases;Maps;Mechanical Ventilators;medical schools;Methods;Molecular;Morphogenesis;multiple omics;nephrogenesis;open source;Organ;Pathology;Phenotype;Physiology;Poison;Proteins;Pulmonary Pathology;Regulation;relating to nervous system;Research Personnel;Resolution;Respiratory System;RNA;Seasons;sex;single cell sequencing;System;The Sun;Three-dimensional analysis;Transcript;transcriptome;transcriptome sequencing;United States National Institutes of Health;Universities;Ureter;Urinary system;Urinary tract;Washington;young adult;,"KULMAP: Human Kidney, urinary tract and lung mapping center","Project Narrative We will build spatial maps of biomolecules for the human respirator and urinary system, both are critical to homeostasis. This will provide remarkable insight into morphogenesis, homeostasis and injury/repair of the body’s principal barriers. It will also help us to manage and treat various acute or chronic damages of these organs.",NHLBI,9660354,22-SEP-2018,RFA-RM-17-027,1U54HL145608-01,1,U54,HL,145608,01,,"LIN, SARA",25-SEP-2018,30-JUN-2022,Special Emphasis Panel (ZRG1-BST-J (50)R),,8747510,"ZHANG, KUN  ","HAGOOD, JAMES S.;JAIN, SANJAY ;KHARCHENKO, PETER V;SUN, XIN ",52,ENGINEERING (ALL TYPES),804355790,US,32.881785,-117.236973,577507,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",LA JOLLA,CA,SCHOOLS OF ARTS AND SCIENCES,92093-0934,UNITED STATES, ,25-SEP-2018,30-JUN-2019,310,Research Centers,2018,OD,498053,151947,650000,
No NIH Category available.,Arteries;Assessment tool;Bar Codes;base;Benchmarking;Bioinformatics;Biological Assay;Blood Vessels;Brain;cell type;Cells;Chromatin;cohort;Communities;computerized data processing;cost;Data;data quality;Data Set;data standards;density;Development;digital;Dimensions;DNA;Elements;Endothelium;Epigenetic Process;Evaluation;Four-dimensional;frontier;Gene Expression;Gene Expression Regulation;Generations;Genome;genome analysis;genome-wide;Genomics;Histologic;Human;human data;human tissue;improved;In Situ;Individual;Inherited;insight;interoperability;Lipids;Liver;Maps;Mesenteric Arteries;mesenteric vein;Metadata;Methods;Molecular;Morphology;multimodal data;Nature;neglect;Nucleic Acids;Pancreas;Phase;Physiological;Proteins;Quality Control;Reagent;Reproducibility;Research;Resolution;response;RNA;Sampling;sex;Slide;Spatial Distribution;Spottings;Stains;Structure;submicron;Technology;Time;Tissues;tool;transcriptome;transcriptome sequencing;ultra high resolution;user friendly software;Variant;Vascular Endothelium;Veins;,Spatial in situ mapping of RNA-chromatin interactions at transcriptome-and-genome scale in human tissues,"Spatial in situ mapping of RNA-chromatin interactions in human vasculature  Project narrative This project will enable generation of spatial transcriptome and spatial RNA-chromatin interactome data with unprecedented resolution. This project will generate HiFi spatial transcriptome, HiFi spatial RNA-chromatin interactome, and high-resolution protein spatial profiles from mesenteric arteries of veins, and the microvasculature from pancreas, liver and brain. These datasets will form the initial human EC biomolecular map (HuEC-MAP).",NCI,10119123,11-SEP-2020,RFA-RM-20-001,1UG3CA256960-01,1,UG3,CA,256960,01,,"SRINIVAS, POTHUR R",11-SEP-2020,31-AUG-2022,Special Emphasis Panel (ZRG1-IMST-M (50)R),,8503196,"ZHONG, SHENG ",Not Applicable,52,ENGINEERING (ALL TYPES),804355790,US,32.881785,-117.236973,577507,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",LA JOLLA,CA,SCHOOLS OF ARTS AND SCIENCES,92093-0934,UNITED STATES, ,11-SEP-2020,31-AUG-2021,310,Research Projects,2020,OD,257172,142828,400000,
